Temperature,Pressure,Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],x_ab_[Pl],x_tts_[Amp],Na_M4_[Amp],Ed_[Amp],Ts_[Amp],Al_pfu_[Cpx],Mg#_[Cpx],Ca_[Cpx],xjd_tot_[Cpx]
713.6363636,2888.888889,2.903685508,0.166973538,0.588074048,0.443311961,0.043005912,0.025862701,0.421249353,0.91276054,0.014867636,0.633563003,0.910712972,0.014867636
715.6565657,2888.888889,2.904656342,0.167837196,0.588110828,0.435421843,0.043226187,0.025138255,0.418577832,0.904619087,0.014927809,0.634623019,0.912687162,0.014927809
717.6767677,2888.888889,2.90457717,0.168331246,0.588259603,0.433392988,0.04379007,0.024925899,0.422562743,0.909776927,0.014986701,0.634731612,0.913013464,0.014986701
719.6969697,2888.888889,2.904488798,0.168830146,0.588404895,0.431285588,0.044357855,0.02471029,0.426551957,0.914942984,0.015044808,0.634865564,0.913346465,0.015044808
721.7171717,2888.888889,2.9043792,0.169324286,0.588549328,0.429114673,0.044927688,0.024486605,0.430507523,0.920070214,0.015101046,0.634981338,0.913684025,0.015101046
723.7373737,2888.888889,2.904291829,0.169825794,0.588719214,0.426863623,0.045504729,0.024268058,0.434522237,0.925267735,0.015159096,0.635143113,0.9140411,0.015159096
725.7575758,2888.888889,2.904168713,0.170324416,0.588878415,0.424526657,0.046081741,0.024033857,0.438452642,0.930383796,0.015213319,0.635310832,0.914416948,0.015213319
727.7777778,2888.888889,2.904065873,0.170823358,0.589047082,0.42211693,0.046664127,0.023806735,0.442434802,0.935527982,0.015267918,0.635497118,0.914778694,0.015267918
729.7979798,2888.888889,2.903944078,0.171313538,0.589171269,0.419628864,0.047247062,0.023571364,0.446391151,0.940671696,0.015320331,0.635694279,0.915155107,0.015320331
731.8181818,2888.888889,2.903802883,0.171816678,0.589386762,0.417065869,0.047835103,0.023331439,0.450307889,0.945749161,0.01537277,0.635882401,0.915554118,0.01537277
733.8383838,2888.888889,2.903673346,0.172316149,0.589570125,0.414397347,0.048425652,0.023092145,0.454244876,0.950841611,0.015425724,0.636044383,0.915951225,0.015425724
735.8585859,2888.888889,2.903561734,0.172822454,0.589775035,0.411655073,0.049017766,0.022846439,0.458134829,0.955874856,0.015474792,0.636219094,0.916348144,0.015474792
737.8787879,2888.888889,2.903374803,0.173313801,0.589961773,0.408844866,0.049614093,0.022598985,0.462040356,0.960964095,0.015524511,0.636510353,0.916789579,0.015524511
